OrderID,OrderDate,City,CustomerID,ProductID,Quantity,SalesAmount
O00047,2025-01-29,Ahmedabad,C260,P018,5,28980
O00048,2025-08-25,Kolkata,C020,P005,3,15999
O00049,2025-05-27,Delhi,C047,P004,3,13323
O00050,2025-09-17,Hyderabad,C237,P040,5,3665
O00051,2025-01-22,Kolkata,C293,P038,5,4170
O00052,2025-06-14,Kolkata,C257,P042,2,5480
O00053,2025-08-19,Delhi,C176,P010,1,1946
O00054,2025-09-16,Pune,C021,P046,1,823
O00055,2025-08-13,Pune,C187,P016,4,11476
O00056,2025-07-18,Hyderabad,C174,P024,3,4911
O00057,2025-01-27,Ahmedabad,C034,P044,5,9670
O00058,2025-10-13,Hyderabad,C146,P022,1,848
O00059,2025-03-18,Ahmedabad,C042,P017,5,8160
O00060,2025-06-29,Chennai,C201,P038,2,1668
O00061,2025-12-29,Delhi,C159,P009,5,6330
O00062,2025-11-26,Ahmedabad,C066,P036,4,14636
O00063,2025-02-17,Hyderabad,C261,P043,5,25220
O00064,2025-07-05,Chennai,C093,P024,1,1637
O00065,2025-09-06,Bengaluru,C116,P014,3,9930
O00066,2025-02-09,Chennai,C052,P009,2,2532
O00067,2025-09-27,Mumbai,C173,P033,5,36505
O00068,2025-03-09,Hyderabad,C079,P050,5,26920
O00069,2025-12-21,Pune,C225,P011,2,2088
O00070,2025-07-06,Bengaluru,C228,P003,4,4364
O00071,2025-08-18,Bengaluru,C274,P040,3,2199
O00072,2025-08-29,Bengaluru,C189,P016,3,8607
O00073,2025-08-14,Kolkata,C145,P044,5,9670
O00074,2025-09-15,Hyderabad,C083,P050,4,21536
O00075,2025-03-12,Chennai,C027,P013,5,29220
O00076,2025-07-10,Delhi,C265,P042,4,10960
O00077,2025-02-12,Pune,C140,P008,3,9678
O00078,2025-03-17,Hyderabad,C047,P029,5,10510
O00079,2025-06-28,Mumbai,C213,P015,4,10512
O00080,2025-09-15,Ahmedabad,C121,P004,4,17764
O00081,2025-07-11,Bengaluru,C015,P025,1,3399
O00082,2025-11-29,Ahmedabad,C075,P021,1,2081
O00083,2025-05-27,Kolkata,C072,P009,1,1266
O00084,2025-08-18,Mumbai,C041,P049,4,14696
O00085,2025-04-21,Pune,C281,P002,3,11211
O00086,2025-09-28,Hyderabad,C057,P047,5,13180
O00087,2025-05-02,Chennai,C063,P050,3,16152
O00088,2025-08-03,Kolkata,C033,P004,2,8882
O00089,2025-11-02,Mumbai,C264,P008,4,12904
O00090,2025-03-15,Chennai,C220,P037,2,12288
O00091,2025-06-30,Bengaluru,C293,P001,5,1245
O00092,2025-12-07,Delhi,C269,P027,2,4548
O00093,2025-09-27,Mumbai,C200,P024,1,1637
O00094,2025-11-22,Hyderabad,C192,P031,1,3319
O00095,2025-07-02,Delhi,C177,P017,1,1632
O00096,2025-10-25,Ahmedabad,C069,P016,1,2869
O00097,2025-10-07,Ahmedabad,C090,P003,3,3273
O00098,2025-12-23,Kolkata,C094,P050,4,21536
O00099,2025-08-23,Mumbai,C151,P009,1,1266
O00100,2025-04-13,Mumbai,C162,P013,1,5844
O00101,2025-07-23,Kolkata,C130,P020,5,30885
O00102,2025-05-27,Ahmedabad,C025,P003,2,2182
O00103,2025-05-20,Delhi,C189,P042,3,8220
O00104,2025-08-14,Hyderabad,C174,P028,4,25992
O00105,2025-12-21,Kolkata,C189,P012,4,10224
O00106,2025-02-12,Hyderabad,C041,P034,3,16785
O00107,2025-04-03,Chennai,C165,P028,5,32490
O00108,2025-06-17,Chennai,C157,P007,1,5961
O00109,2025-08-07,Pune,C228,P029,5,10510
O00110,2025-01-22,Ahmedabad,C223,P023,4,22628
O00111,2025-02-08,Hyderabad,C187,P018,1,5796
O00112,2025-01-16,Pune,C225,P033,2,14602
O00113,2025-02-04,Bengaluru,C188,P003,2,2182
O00114,2025-10-18,Mumbai,C079,P024,4,6548
O00115,2025-07-09,Ahmedabad,C228,P044,4,7736
O00116,2025-10-21,Pune,C272,P049,1,3674
O00117,2025-06-10,Chennai,C128,P024,4,6548
O00118,2025-04-06,Kolkata,C266,P008,1,3226
O00119,2025-03-02,Chennai,C134,P025,5,16995
O00120,2025-04-20,Chennai,C252,P046,4,3292
O00121,2025-03-11,Delhi,C232,P013,1,5844
O00122,2025-02-14,Ahmedabad,C178,P012,4,10224
O00123,2025-10-09,Chennai,C154,P046,1,823
O00124,2025-07-05,Bengaluru,C063,P011,2,2088
O00125,2025-05-02,Kolkata,C014,P013,2,11688
O00126,2025-10-21,Ahmedabad,C240,P024,5,8185
O00127,2025-11-10,Delhi,C034,P036,2,7318
O00128,2025-09-03,Hyderabad,C210,P020,4,24708
O00129,2025-03-06,Ahmedabad,C038,P037,1,6144
O00130,2025-12-15,Ahmedabad,C066,P029,4,8408
O00131,2025-11-24,Pune,C067,P050,5,26920
O00132,2025-01-29,Delhi,C266,P028,5,32490
O00133,2025-03-26,Pune,C166,P010,3,5838
O00134,2025-06-27,Chennai,C041,P046,2,1646
O00135,2025-11-22,Chennai,C065,P017,2,3264
O00136,2025-11-11,Delhi,C258,P041,3,2976
O00137,2025-10-31,Pune,C088,P042,2,5480
O00138,2025-11-06,Ahmedabad,C289,P043,5,25220
O00139,2025-02-11,Mumbai,C296,P003,1,1091
O00140,2025-10-20,Hyderabad,C016,P017,2,3264
O00141,2025-05-29,Chennai,C248,P032,5,4320
O00142,2025-06-02,Kolkata,C038,P016,4,11476
O00143,2025-03-22,Kolkata,C213,P045,1,4952
O00144,2025-04-15,Ahmedabad,C074,P031,4,13276
O00145,2025-06-26,Hyderabad,C067,P021,3,6243
O00146,2025-09-21,Delhi,C164,P049,3,11022
O00147,2025-03-04,Chennai,C231,P016,4,11476
O00148,2025-02-19,Mumbai,C149,P016,2,5738
O00149,2025-08-03,Bengaluru,C082,P025,5,16995
O00150,2025-06-10,Bengaluru,C082,P021,5,10405
O00151,2025-08-28,Kolkata,C158,P032,5,4320
O00152,2025-02-16,Hyderabad,C259,P032,1,864
O00153,2025-04-21,Ahmedabad,C025,P030,2,7944
O00154,2025-09-11,Kolkata,C147,P004,3,13323
O00155,2025-02-25,Hyderabad,C069,P035,1,6329
O00156,2025-07-26,Ahmedabad,C024,P017,3,4896
O00157,2025-10-19,Bengaluru,C186,P026,1,4206
O00158,2025-02-07,Hyderabad,C259,P036,3,10977
O00159,2025-05-24,Delhi,C066,P029,5,10510
O00160,2025-07-11,Ahmedabad,C286,P007,4,23844
O00161,2025-04-12,Hyderabad,C257,P024,2,3274
O00162,2025-01-20,Pune,C171,P003,1,1091
O00163,2025-08-22,Pune,C264,P031,5,16595
O00164,2025-11-10,Ahmedabad,C084,P009,3,3798
O00165,2025-06-03,Ahmedabad,C260,P026,5,21030
O00166,2025-09-08,Chennai,C244,P033,5,36505
O00167,2025-06-19,Delhi,C214,P002,3,11211
O00168,2025-12-19,Mumbai,C243,P038,3,2502
O00169,2025-10-23,Bengaluru,C027,P017,5,8160
O00170,2025-03-29,Hyderabad,C076,P038,4,3336
O00171,2025-01-17,Delhi,C098,P044,2,3868
O00172,2025-06-10,Hyderabad,C078,P002,4,14948
O00173,2025-07-30,Kolkata,C032,P027,2,4548
O00174,2025-09-23,Bengaluru,C288,P046,2,1646
O00175,2025-09-27,Hyderabad,C161,P021,4,8324
O00176,2025-09-30,Ahmedabad,C280,P012,4,10224
O00177,2025-11-09,Kolkata,C099,P023,3,16971
O00178,2025-10-13,Chennai,C116,P016,3,8607
O00179,2025-12-27,Bengaluru,C251,P020,3,18531
O00180,2025-06-28,Chennai,C148,P021,4,8324
O00181,2025-12-13,Hyderabad,C203,P008,5,16130
O00182,2025-05-29,Mumbai,C148,P023,2,11314
O00183,2025-06-27,Kolkata,C132,P046,1,823
O00184,2025-04-20,Bengaluru,C276,P048,4,6964
O00185,2025-12-23,Chennai,C071,P018,5,28980
O00186,2025-10-28,Bengaluru,C125,P007,5,29805
O00187,2025-04-26,Bengaluru,C027,P004,5,22205
O00188,2025-06-19,Kolkata,C052,P007,4,23844
O00189,2025-01-03,Pune,C209,P044,2,3868
O00190,2025-09-02,Bengaluru,C148,P042,4,10960
O00191,2025-11-27,Mumbai,C046,P021,3,6243
O00192,2025-04-29,Mumbai,C090,P042,5,13700
O00193,2025-01-19,Hyderabad,C254,P027,2,4548
O00194,2025-01-20,Mumbai,C153,P012,3,7668
O00195,2025-02-24,Ahmedabad,C146,P037,5,30720
O00196,2025-09-26,Kolkata,C069,P030,5,19860
O00197,2025-05-20,Bengaluru,C058,P033,4,29204
O00198,2025-08-23,Chennai,C096,P022,2,1696
O00199,2025-06-01,Bengaluru,C090,P001,3,747
O00200,2025-08-07,Ahmedabad,C045,P040,4,2932
O00201,2025-04-05,Pune,C245,P026,1,4206
O00202,2025-01-04,Chennai,C197,P021,2,4162
O00203,2025-05-17,Ahmedabad,C155,P016,4,11476
O00204,2025-01-06,Chennai,C185,P038,5,4170
O00205,2025-02-01,Delhi,C239,P045,2,9904
O00206,2025-07-27,Chennai,C061,P020,2,12354
O00207,2025-07-08,Bengaluru,C113,P041,3,2976
O00208,2025-03-20,Kolkata,C192,P009,4,5064
O00209,2025-08-30,Bengaluru,C127,P027,5,11370
O00210,2025-02-11,Kolkata,C271,P044,5,9670
O00211,2025-02-09,Delhi,C032,P046,3,2469
O00212,2025-04-14,Pune,C085,P036,5,18295
O00213,2025-08-15,Delhi,C106,P021,5,10405
O00214,2025-09-08,Delhi,C262,P046,5,4115
O00215,2025-08-21,Pune,C263,P029,1,2102
O00216,2025-10-16,Mumbai,C287,P027,4,9096
O00217,2025-01-12,Hyderabad,C131,P030,3,11916
O00218,2025-10-24,Delhi,C024,P001,2,498
O00219,2025-12-25,Delhi,C278,P028,3,19494
O00220,2025-08-30,Mumbai,C147,P004,1,4441
O00221,2025-03-11,Hyderabad,C192,P027,2,4548
O00222,2025-07-13,Hyderabad,C042,P025,4,13596
O00223,2025-03-10,Ahmedabad,C061,P044,5,9670
O00224,2025-07-21,Pune,C115,P012,5,12780
O00225,2025-06-02,Kolkata,C279,P001,1,249
O00226,2025-07-14,Bengaluru,C127,P028,5,32490
O00227,2025-03-21,Chennai,C097,P030,3,11916
O00228,2025-01-17,Hyderabad,C009,P047,1,2636
O00229,2025-02-04,Delhi,C018,P016,2,5738
O00230,2025-12-11,Mumbai,C126,P029,5,10510
O00231,2025-07-25,Kolkata,C120,P048,1,1741
O00232,2025-01-29,Pune,C258,P035,2,12658
O00233,2025-10-22,Ahmedabad,C296,P019,2,13464
O00234,2025-05-02,Chennai,C074,P039,3,9003
O00235,2025-04-24,Hyderabad,C154,P043,5,25220
O00236,2025-10-13,Pune,C219,P018,1,5796
O00237,2025-01-25,Ahmedabad,C196,P036,4,14636
O00238,2025-12-23,Hyderabad,C210,P034,3,16785
O00239,2025-07-12,Pune,C276,P010,3,5838
O00240,2025-04-26,Chennai,C074,P031,2,6638
O00241,2025-10-15,Hyderabad,C214,P030,1,3972
O00242,2025-03-10,Hyderabad,C125,P036,5,18295
O00243,2025-06-19,Delhi,C231,P017,2,3264
O00244,2025-10-02,Bengaluru,C027,P024,1,1637
O00245,2025-12-11,Mumbai,C038,P018,4,23184
O00246,2025-12-10,Bengaluru,C246,P013,5,29220
O00247,2025-06-05,Mumbai,C109,P014,3,9930
O00248,2025-09-03,Bengaluru,C105,P013,1,5844
O00249,2025-10-10,Ahmedabad,C145,P026,2,8412
O00250,2025-10-01,Ahmedabad,C158,P025,4,13596
O00251,2025-09-20,Kolkata,C239,P017,3,4896
O00252,2025-06-13,Bengaluru,C190,P007,4,23844
O00253,2025-01-24,Bengaluru,C075,P021,4,8324
O00254,2025-10-11,Hyderabad,C152,P002,3,11211
O00255,2025-06-18,Bengaluru,C195,P010,2,3892
O00256,2025-09-13,Ahmedabad,C132,P037,2,12288
O00257,2025-11-25,Kolkata,C236,P049,4,14696
O00258,2025-03-28,Pune,C280,P011,3,3132
O00259,2025-10-05,Mumbai,C269,P032,2,1728
O00260,2025-12-09,Mumbai,C004,P003,1,1091
O00261,2025-11-19,Bengaluru,C035,P027,2,4548
O00262,2025-01-05,Bengaluru,C259,P046,2,1646
O00263,2025-01-31,Kolkata,C250,P030,3,11916
O00264,2025-09-30,Hyderabad,C007,P002,1,3737
O00265,2025-05-21,Chennai,C009,P002,5,18685
O00266,2025-04-02,Delhi,C050,P033,4,29204
O00267,2025-05-04,Bengaluru,C270,P034,2,11190
O00268,2025-05-17,Hyderabad,C041,P017,3,4896
O00269,2025-08-24,Bengaluru,C116,P024,4,6548
O00270,2025-12-01,Mumbai,C048,P020,1,6177
O00271,2025-07-13,Kolkata,C029,P026,4,16824
O00272,2025-12-26,Pune,C043,P041,1,992
O00273,2025-11-27,Ahmedabad,C290,P032,4,3456
O00274,2025-01-22,Bengaluru,C109,P007,5,29805
O00275,2025-09-01,Chennai,C024,P045,5,24760
O00276,2025-10-06,Mumbai,C092,P005,3,15999
O00277,2025-04-17,Pune,C204,P021,1,2081
O00278,2025-03-25,Bengaluru,C291,P005,3,15999
O00279,2025-06-19,Hyderabad,C072,P025,5,16995
O00280,2025-09-14,Ahmedabad,C028,P045,1,4952
O00281,2025-04-29,Delhi,C175,P007,4,23844
O00282,2025-11-01,Hyderabad,C168,P039,5,15005
O00283,2025-08-19,Kolkata,C117,P002,3,11211
O00284,2025-07-12,Hyderabad,C096,P023,5,28285
O00285,2025-12-05,Hyderabad,C044,P044,5,9670
O00286,2025-06-01,Bengaluru,C038,P050,5,26920
O00287,2025-03-20,Hyderabad,C079,P006,3,18096
O00288,2025-06-12,Ahmedabad,C055,P048,4,6964
O00289,2025-06-07,Kolkata,C185,P006,1,6032
O00290,2025-02-22,Pune,C045,P049,3,11022
O00291,2025-08-18,Hyderabad,C053,P012,4,10224
O00292,2025-07-01,Delhi,C167,P002,1,3737
O00293,2025-05-30,Hyderabad,C199,P025,1,3399
O00294,2025-10-14,Bengaluru,C293,P050,1,5384
O00295,2025-12-17,Hyderabad,C087,P034,2,11190
O00296,2025-06-04,Chennai,C253,P009,3,3798
O00297,2025-03-27,Hyderabad,C142,P010,1,1946
O00298,2025-09-05,Delhi,C185,P027,3,6822
O00299,2025-11-17,Kolkata,C101,P017,2,3264
O00300,2025-03-11,Chennai,C004,P030,1,3972
O00301,2025-11-14,Hyderabad,C169,P026,3,12618
O00302,2025-08-09,Pune,C154,P029,3,6306
O00303,2025-12-22,Bengaluru,C246,P021,5,10405
O00304,2025-07-23,Ahmedabad,C150,P021,2,4162
O00305,2025-10-22,Bengaluru,C167,P048,4,6964
O00306,2025-07-21,Ahmedabad,C059,P025,3,10197
O00307,2025-10-31,Pune,C282,P037,2,12288
O00308,2025-12-29,Bengaluru,C225,P002,4,14948
O00309,2025-07-29,Kolkata,C072,P019,1,6732
O00310,2025-05-04,Chennai,C079,P041,3,2976
O00311,2025-07-13,Delhi,C230,P046,4,3292
O00312,2025-10-26,Hyderabad,C274,P039,4,12004
O00313,2025-10-06,Mumbai,C185,P033,4,29204
O00314,2025-11-01,Delhi,C056,P045,5,24760
O00315,2025-12-03,Ahmedabad,C086,P050,2,10768
O00316,2025-01-23,Hyderabad,C170,P042,5,13700
O00317,2025-01-06,Delhi,C133,P028,1,6498
O00318,2025-09-23,Bengaluru,C229,P015,5,13140
O00319,2025-08-26,Pune,C177,P024,4,6548
O00320,2025-02-23,Chennai,C213,P002,4,14948
O00321,2025-03-14,Ahmedabad,C160,P006,1,6032
O00322,2025-04-16,Kolkata,C179,P022,4,3392
O00323,2025-08-13,Kolkata,C164,P031,1,3319
O00324,2025-01-23,Delhi,C012,P005,3,15999
O00325,2025-12-13,Pune,C125,P022,1,848
O00326,2025-10-10,Pune,C170,P034,2,11190
O00327,2025-08-25,Bengaluru,C208,P036,4,14636
O00328,2025-04-06,Hyderabad,C203,P041,2,1984
O00329,2025-04-12,Kolkata,C220,P002,5,18685
O00330,2025-12-27,Bengaluru,C106,P025,1,3399
O00331,2025-10-23,Delhi,C275,P018,1,5796
O00332,2025-06-16,Bengaluru,C235,P012,3,7668
O00333,2025-12-10,Kolkata,C271,P008,3,9678
O00334,2025-11-02,Hyderabad,C201,P041,3,2976
O00335,2025-06-28,Ahmedabad,C235,P038,1,834
O00336,2025-12-11,Chennai,C044,P040,2,1466
O00337,2025-06-10,Delhi,C123,P044,2,3868
O00338,2025-04-04,Ahmedabad,C073,P020,1,6177
O00339,2025-08-03,Pune,C295,P033,4,29204
O00340,2025-04-06,Kolkata,C276,P025,4,13596
O00341,2025-10-12,Pune,C251,P045,2,9904
O00342,2025-04-06,Ahmedabad,C231,P019,2,13464
O00343,2025-07-03,Mumbai,C249,P040,1,733
O00344,2025-07-16,Kolkata,C210,P009,2,2532
O00345,2025-08-01,Kolkata,C251,P044,4,7736
O00346,2025-10-17,Mumbai,C113,P011,1,1044
O00347,2025-05-21,Bengaluru,C276,P019,1,6732
O00348,2025-08-23,Kolkata,C282,P019,2,13464
O00349,2025-10-21,Delhi,C138,P033,1,7301
O00350,2025-07-07,Mumbai,C226,P050,5,26920
O00351,2025-08-06,Delhi,C127,P035,2,12658
O00352,2025-08-19,Chennai,C179,P020,1,6177
O00353,2025-03-02,Bengaluru,C108,P006,4,24128
O00354,2025-12-19,Ahmedabad,C220,P048,5,8705
O00355,2025-03-13,Bengaluru,C106,P011,5,5220
O00356,2025-06-29,Chennai,C276,P004,5,22205
O00357,2025-12-27,Chennai,C149,P011,3,3132
O00358,2025-09-21,Delhi,C070,P037,3,18432
O00359,2025-01-31,Chennai,C065,P049,4,14696
O00360,2025-05-08,Pune,C165,P045,2,9904
O00361,2025-09-08,Pune,C296,P016,4,11476
O00362,2025-11-18,Hyderabad,C193,P041,3,2976
O00363,2025-11-21,Delhi,C207,P029,1,2102
O00364,2025-12-22,Ahmedabad,C233,P033,3,21903
O00365,2025-10-25,Mumbai,C048,P032,3,2592
O00366,2025-11-22,Ahmedabad,C033,P047,4,10544
O00367,2025-04-22,Hyderabad,C109,P035,4,25316
O00368,2025-06-15,Chennai,C173,P032,3,2592
O00369,2025-03-08,Kolkata,C176,P036,5,18295
O00370,2025-01-24,Delhi,C236,P044,1,1934
O00371,2025-03-22,Kolkata,C234,P002,1,3737
O00372,2025-04-14,Pune,C155,P001,4,996
O00373,2025-02-17,Ahmedabad,C129,P011,3,3132
O00374,2025-12-07,Pune,C027,P006,3,18096
O00375,2025-12-25,Bengaluru,C220,P026,3,12618
O00376,2025-12-27,Delhi,C001,P042,1,2740
O00377,2025-02-09,Pune,C116,P014,4,13240
O00378,2025-01-05,Mumbai,C176,P034,4,22380
O00379,2025-12-22,Pune,C245,P008,4,12904
O00380,2025-07-16,Delhi,C053,P005,2,10666
O00381,2025-07-08,Chennai,C071,P007,3,17883
O00382,2025-11-25,Pune,C036,P025,2,6798
O00383,2025-01-05,Pune,C226,P034,5,27975
O00384,2025-11-18,Pune,C211,P023,2,11314
O00385,2025-04-22,Delhi,C052,P040,4,2932
O00386,2025-10-29,Hyderabad,C180,P009,1,1266
O00387,2025-03-13,Bengaluru,C142,P028,3,19494
O00388,2025-05-08,Chennai,C014,P042,1,2740
O00389,2025-04-16,Bengaluru,C201,P043,3,15132
O00390,2025-05-03,Kolkata,C198,P019,1,6732
O00391,2025-09-13,Delhi,C271,P008,2,6452
O00392,2025-06-12,Pune,C199,P001,3,747
O00393,2025-07-07,Pune,C242,P037,4,24576
O00394,2025-01-09,Delhi,C008,P050,1,5384
O00395,2025-01-21,Mumbai,C204,P017,2,3264
O00396,2025-11-18,Hyderabad,C217,P033,3,21903
O00397,2025-02-12,Pune,C143,P045,4,19808
O00398,2025-02-10,Bengaluru,C080,P006,3,18096
O00399,2025-07-20,Delhi,C159,P035,3,18987
O00400,2025-05-03,Mumbai,C126,P045,4,19808
O00401,2025-03-01,Kolkata,C029,P006,4,24128
O00402,2025-03-03,Mumbai,C071,P020,2,12354
O00403,2025-03-25,Kolkata,C178,P045,1,4952
O00404,2025-05-13,Pune,C191,P034,5,27975
O00405,2025-03-02,Mumbai,C172,P009,3,3798
O00406,2025-09-26,Delhi,C135,P028,3,19494
O00407,2025-11-18,Delhi,C255,P046,5,4115
O00408,2025-07-04,Mumbai,C256,P030,5,19860
O00409,2025-07-08,Pune,C131,P037,2,12288
O00410,2025-10-21,Delhi,C117,P050,1,5384
O00411,2025-01-02,Mumbai,C007,P048,5,8705
O00412,2025-08-30,Ahmedabad,C197,P016,1,2869
O00413,2025-01-19,Hyderabad,C115,P010,2,3892
O00414,2025-08-02,Ahmedabad,C139,P021,2,4162
O00415,2025-07-10,Delhi,C258,P005,5,26665
O00416,2025-04-02,Bengaluru,C265,P044,1,1934
O00417,2025-02-05,Kolkata,C145,P003,4,4364
O00418,2025-06-17,Delhi,C284,P050,3,16152
O00419,2025-07-08,Bengaluru,C150,P030,1,3972
O00420,2025-11-15,Bengaluru,C238,P037,3,18432
O00421,2025-09-10,Bengaluru,C280,P024,5,8185
O00422,2025-03-19,Mumbai,C210,P049,2,7348
O00423,2025-10-05,Ahmedabad,C005,P002,2,7474
O00424,2025-12-03,Hyderabad,C158,P022,1,848
O00425,2025-09-29,Bengaluru,C215,P007,2,11922
O00426,2025-03-14,Chennai,C048,P032,1,864
O00427,2025-09-24,Hyderabad,C191,P003,2,2182
O00428,2025-10-25,Delhi,C259,P030,1,3972
O00429,2025-02-08,Mumbai,C223,P009,4,5064
O00430,2025-05-02,Chennai,C134,P043,2,10088
O00431,2025-12-25,Ahmedabad,C163,P021,4,8324
O00432,2025-04-30,Delhi,C104,P029,3,6306
O00433,2025-02-25,Pune,C055,P009,5,6330
O00434,2025-08-27,Ahmedabad,C209,P011,4,4176
O00435,2025-07-03,Bengaluru,C232,P008,5,16130
O00436,2025-05-16,Delhi,C047,P020,4,24708
O00437,2025-12-27,Mumbai,C111,P011,3,3132
O00438,2025-02-16,Bengaluru,C183,P021,2,4162
O00439,2025-01-26,Chennai,C134,P026,5,21030
O00440,2025-07-27,Kolkata,C285,P012,1,2556
O00441,2025-05-08,Delhi,C237,P048,5,8705
O00442,2025-03-04,Mumbai,C032,P007,2,11922
O00443,2025-03-08,Bengaluru,C206,P050,2,10768
O00444,2025-10-26,Chennai,C039,P024,1,1637
O00445,2025-04-12,Kolkata,C066,P002,1,3737
O00446,2025-03-04,Mumbai,C237,P006,3,18096
O00447,2025-10-21,Hyderabad,C203,P004,2,8882
O00448,2025-07-15,Hyderabad,C089,P032,1,864
O00449,2025-04-06,Chennai,C144,P023,2,11314
O00450,2025-01-18,Bengaluru,C152,P029,2,4204
O00451,2025-10-09,Kolkata,C032,P032,4,3456
O00452,2025-07-16,Pune,C215,P006,3,18096
O00453,2025-05-08,Mumbai,C196,P013,5,29220
O00454,2025-09-03,Kolkata,C177,P046,3,2469
O00455,2025-06-14,Hyderabad,C139,P037,5,30720
O00456,2025-06-13,Bengaluru,C016,P012,1,2556
O00457,2025-01-30,Kolkata,C272,P050,3,16152
O00458,2025-04-30,Pune,C052,P023,5,28285
O00459,2025-05-17,Mumbai,C113,P016,2,5738
O00460,2025-07-01,Pune,C091,P037,4,24576
O00461,2025-06-12,Ahmedabad,C015,P016,5,14345
O00462,2025-10-18,Pune,C289,P046,3,2469
O00463,2025-10-05,Chennai,C090,P013,4,23376
O00464,2025-02-16,Mumbai,C120,P032,1,864
O00465,2025-01-11,Kolkata,C001,P039,2,6002
O00466,2025-04-14,Pune,C175,P022,5,4240
O00467,2025-06-15,Mumbai,C012,P046,2,1646
O00468,2025-12-27,Pune,C057,P010,5,9730
O00469,2025-02-07,Ahmedabad,C203,P034,3,16785
O00470,2025-06-22,Chennai,C166,P038,1,834
O00471,2025-08-12,Kolkata,C163,P009,2,2532
O00472,2025-12-22,Ahmedabad,C115,P012,5,12780
O00473,2025-03-31,Hyderabad,C158,P043,5,25220
O00474,2025-03-07,Pune,C001,P047,3,7908
O00475,2025-07-20,Mumbai,C094,P045,5,24760
O00476,2025-11-10,Bengaluru,C290,P039,3,9003
O00477,2025-03-14,Ahmedabad,C040,P007,4,23844
O00478,2025-06-13,Pune,C046,P016,3,8607
O00479,2025-08-17,Mumbai,C136,P046,3,2469
O00480,2025-12-21,Delhi,C180,P014,2,6620
O00481,2025-01-01,Mumbai,C198,P017,1,1632
O00482,2025-03-27,Hyderabad,C253,P029,4,8408
O00483,2025-10-07,Hyderabad,C052,P025,3,10197
O00484,2025-11-30,Bengaluru,C084,P031,5,16595
O00485,2025-01-18,Chennai,C011,P029,1,2102
O00486,2025-02-23,Delhi,C176,P021,3,6243
O00487,2025-03-24,Delhi,C281,P011,4,4176
O00488,2025-11-01,Kolkata,C016,P006,3,18096
O00489,2025-11-07,Hyderabad,C081,P028,2,12996
O00490,2025-06-19,Bengaluru,C098,P004,1,4441
O00491,2025-10-04,Chennai,C145,P027,5,11370
O00492,2025-02-19,Mumbai,C202,P020,2,12354
O00493,2025-09-09,Pune,C028,P037,5,30720
O00494,2025-08-07,Delhi,C151,P024,1,1637
O00495,2025-09-03,Bengaluru,C050,P043,5,25220
O00496,2025-03-29,Chennai,C042,P002,2,7474
O00497,2025-06-07,Hyderabad,C242,P031,1,3319
