InventoryID,ProductID,Warehouse,StockQty,ReorderLevel
I0192,P026,WH-5,18,49
I0193,P006,WH-3,129,40
I0194,P008,WH-4,263,72
I0195,P001,WH-5,236,46
I0196,P004,WH-2,265,43
I0197,P040,WH-4,226,68
I0198,P004,WH-2,136,55
I0199,P009,WH-3,224,76
I0200,P045,WH-4,62,21
I0201,P041,WH-5,122,65
I0202,P011,WH-3,282,20
I0203,P036,WH-4,47,34
I0204,P008,WH-4,60,61
I0205,P010,WH-4,149,52
I0206,P046,WH-3,212,73
I0207,P031,WH-4,124,49
I0208,P036,WH-2,196,32
I0209,P039,WH-5,69,75
I0210,P005,WH-3,212,41
I0211,P033,WH-3,1,38
I0212,P047,WH-3,300,57
I0213,P043,WH-4,76,48
I0214,P035,WH-4,176,41
I0215,P036,WH-5,193,49
I0216,P021,WH-2,122,56
I0217,P025,WH-2,210,22
I0218,P021,WH-4,195,44
I0219,P043,WH-2,253,22
I0220,P009,WH-5,169,75
I0221,P007,WH-4,51,53
I0222,P030,WH-1,73,46
I0223,P042,WH-2,38,50
I0224,P017,WH-3,203,61
I0225,P006,WH-3,273,44
I0226,P021,WH-4,277,22
I0227,P040,WH-1,120,60
I0228,P044,WH-3,116,67
I0229,P006,WH-4,50,68
I0230,P041,WH-1,227,30
I0231,P045,WH-3,14,22
I0232,P021,WH-1,150,42
I0233,P024,WH-4,74,35
I0234,P034,WH-4,289,63
I0235,P012,WH-2,89,25
I0236,P040,WH-4,123,51
I0237,P038,WH-2,118,49
I0238,P041,WH-3,235,36
I0239,P043,WH-1,238,77
I0240,P019,WH-5,80,24
I0241,P029,WH-3,300,39
I0242,P041,WH-4,128,49
I0243,P020,WH-2,196,74
I0244,P031,WH-1,121,44
I0245,P037,WH-3,294,38
I0246,P045,WH-3,11,73
I0247,P043,WH-4,140,20
I0248,P037,WH-1,254,73
I0249,P019,WH-2,180,34
I0250,P041,WH-2,128,63
I0251,P049,WH-2,49,77
I0252,P041,WH-1,158,70
I0253,P029,WH-1,296,43
I0254,P047,WH-2,46,78
I0255,P019,WH-3,212,31
I0256,P013,WH-2,276,76
I0257,P024,WH-5,256,78
I0258,P018,WH-2,131,78
I0259,P031,WH-3,173,71
I0260,P008,WH-4,38,29
I0261,P049,WH-2,203,74
I0262,P036,WH-3,46,70
I0263,P026,WH-1,135,54
I0264,P008,WH-4,188,63
I0265,P048,WH-3,299,44
I0266,P041,WH-3,55,63
I0267,P015,WH-4,12,59
I0268,P036,WH-3,113,61
I0269,P005,WH-4,154,61
I0270,P027,WH-1,71,22
I0271,P003,WH-3,252,27
I0272,P007,WH-2,275,28
I0273,P025,WH-4,189,62
I0274,P048,WH-5,214,57
I0275,P048,WH-2,212,61
I0276,P007,WH-4,208,80
I0277,P018,WH-1,189,33
I0278,P029,WH-4,120,74
I0279,P024,WH-1,188,54
I0280,P042,WH-3,31,45
I0281,P018,WH-2,62,80
I0282,P030,WH-1,108,61
I0283,P041,WH-5,10,23
I0284,P022,WH-2,64,70
I0285,P037,WH-2,35,73
I0286,P049,WH-5,106,57
I0287,P014,WH-2,168,69
I0288,P010,WH-5,1,37
I0289,P010,WH-2,276,36
I0290,P012,WH-1,13,28
I0291,P001,WH-3,121,57
I0292,P021,WH-1,89,36
I0293,P004,WH-2,215,53
I0294,P008,WH-1,243,48
I0295,P050,WH-3,262,57
I0296,P007,WH-4,257,34
I0297,P040,WH-1,266,39
I0298,P030,WH-1,31,50
I0299,P026,WH-4,55,51
I0300,P046,WH-4,37,77
